
Command: mnist_softmax_dg.py --drop_grads_prob=1.0 --out_file=results_1.0.txt --batches=20000

Command: mnist_softmax_dg.py --drop_grads_prob=1.0 --out_file=results_1.0.txt --batches=20000
step 0, training accuracy 0.06, test accuracy 0.0876
step 100, training accuracy 0.08, test accuracy 0.0876
step 200, training accuracy 0.16, test accuracy 0.0876
step 300, training accuracy 0.16, test accuracy 0.0876
step 400, training accuracy 0.08, test accuracy 0.0876
step 500, training accuracy 0.06, test accuracy 0.0876
step 600, training accuracy 0.08, test accuracy 0.0876
step 700, training accuracy 0.08, test accuracy 0.0876
step 800, training accuracy 0.08, test accuracy 0.0876
step 900, training accuracy 0.02, test accuracy 0.0876
step 1000, training accuracy 0.12, test accuracy 0.0876
step 1100, training accuracy 0.06, test accuracy 0.0876
step 1200, training accuracy 0.14, test accuracy 0.0876
step 1300, training accuracy 0.02, test accuracy 0.0876
step 1400, training accuracy 0.1, test accuracy 0.0876
step 1500, training accuracy 0.08, test accuracy 0.0876
step 1600, training accuracy 0.04, test accuracy 0.0876
step 1700, training accuracy 0.12, test accuracy 0.0876
step 1800, training accuracy 0.04, test accuracy 0.0876
step 1900, training accuracy 0.08, test accuracy 0.0876
step 2000, training accuracy 0.1, test accuracy 0.0876
step 2100, training accuracy 0.08, test accuracy 0.0876
step 2200, training accuracy 0.12, test accuracy 0.0876
step 2300, training accuracy 0.12, test accuracy 0.0876
step 2400, training accuracy 0.06, test accuracy 0.0876
step 2500, training accuracy 0.06, test accuracy 0.0876
step 2600, training accuracy 0.04, test accuracy 0.0876
step 2700, training accuracy 0.1, test accuracy 0.0876
step 2800, training accuracy 0.08, test accuracy 0.0876
step 2900, training accuracy 0.04, test accuracy 0.0876
step 3000, training accuracy 0.06, test accuracy 0.0876
step 3100, training accuracy 0.1, test accuracy 0.0876
step 3200, training accuracy 0.08, test accuracy 0.0876
step 3300, training accuracy 0.06, test accuracy 0.0876
step 3400, training accuracy 0.12, test accuracy 0.0876
step 3500, training accuracy 0.06, test accuracy 0.0876
